Rank,Release Group,Worldwide,Domestic,%,Foreign,%
303,Papi Sitter,"$1,975,973",-,-,"$1,975,973",100%
304,All My Life,"$1,965,113","$913,935",46.5%,"$1,051,178",53.5%
305,30 Chua Phai Tet,"$1,957,005",-,-,"$1,957,005",100%
306,Hayaller Ülkesi: Gamonya,"$1,943,338",-,-,"$1,943,338",100%
307,The Craft: Legacy,"$1,918,716",-,-,"$1,918,716",100%
308,Jurassic Park 2020 Re-release,"$1,907,782","$1,386,600",72.7%,"$521,182",27.3%
309,Pirates Down the Street,"$1,900,298",-,-,"$1,900,298",100%
310,Play,"$1,899,658",-,-,"$1,899,658",100%
311,Great Performances at the Met: The Gershwins' Porgy and Bess,"$1,887,761",-,-,"$1,887,761",100%
312,Beyond the Dream,"$1,869,039",-,-,"$1,869,039",100%
313,Misbehaviour,"$1,845,897",-,-,"$1,845,897",100%
314,Swingersi,"$1,827,589",-,-,"$1,827,589",100%
315,The Fantastic Journey of Margot & Marguerite,"$1,822,472",-,-,"$1,822,472",100%
316,"I Have Loved you for 30 Years, Yayoi","$1,783,960",-,-,"$1,783,960",100%
317,3Grapes,"$1,750,746",-,-,"$1,750,746",100%
318,Wife of a Spy,"$1,745,270",-,-,"$1,745,270",100%
319,The Comeback Trail,"$1,740,000",-,-,"$1,740,000",100%
320,Darbar,"$1,738,535",-,-,"$1,738,535",100%
321,Josée,"$1,697,922",-,-,"$1,697,922",100%
322,Paw Patrol: Jet to the Rescue,"$1,695,576",-,-,"$1,695,576",100%
323,Night Shift,"$1,695,116",$534,<0.1%,"$1,694,582",100%
324,"Kiss Him, Not Me","$1,669,719",-,-,"$1,669,719",100%
325,How I Became Russian,"$1,668,824",-,-,"$1,668,824",100%
326,Fatman,"$1,646,155","$278,378",16.9%,"$1,367,777",83.1%
327,Casanova's,"$1,616,489",-,-,"$1,616,489",100%
328,L'esprit de famille,"$1,602,914",-,-,"$1,602,914",100%
329,Kalashnikov,"$1,593,464",-,-,"$1,593,464",100%
330,Little Vampire,"$1,593,224",-,-,"$1,593,224",100%
331,Come Away,"$1,581,566","$184,477",11.7%,"$1,397,089",88.3%
332,Wasp Network,"$1,566,104",-,-,"$1,566,104",100%
333,#Iamhere,"$1,563,896",-,-,"$1,563,896",100%
334,Terrible Jungle,"$1,560,874",-,-,"$1,560,874",100%
335,Realnye patsany protiv zombi,"$1,554,305",-,-,"$1,554,305",100%
336,The Crossing,"$1,540,601",-,-,"$1,540,601",100%
337,Knerten og sjøormen,"$1,496,735",-,-,"$1,496,735",100%
338,The Swordsman,"$1,495,125",-,-,"$1,495,125",100%
339,Veinteañera: Divorciada y Fantástica,"$1,486,553",-,-,"$1,486,553",100%
340,Greed,"$1,460,431","$355,308",24.3%,"$1,105,123",75.7%
341,Extinction,"$1,451,864",-,-,"$1,451,864",100%
342,The Cornered Mouse Dreams of Cheese,"$1,441,478",-,-,"$1,441,478",100%
343,Türkler Geliyor: Adaletin Kilici,"$1,412,062",-,-,"$1,412,062",100%
344,Cosmoball,"$1,409,573",-,-,"$1,409,573",100%
345,New Order,"$1,406,926",-,-,"$1,406,926",100%
346,Nang 3: Loi Hua Cua Cha,"$1,398,976",-,-,"$1,398,976",100%
347,Superagente Makey,"$1,395,217",-,-,"$1,395,217",100%
348,Wednesday Disappears,"$1,390,871",-,-,"$1,390,871",100%
349,Saint Maud,"$1,383,868",-,-,"$1,383,868",100%
350,Josep,"$1,373,465",-,-,"$1,373,465",100%
351,Max und die wilde 7,"$1,369,679",-,-,"$1,369,679",100%
352,Mutiny of the Worker Bees,"$1,368,432",-,-,"$1,368,432",100%
353,The Goonies 2020 Re-release,"$1,367,152","$825,000",60.3%,"$542,152",39.7%
354,National Theater Live: Cyrano de Bergerac 2020 Re-release,"$1,363,212","$198,352",14.6%,"$1,164,860",85.4%
355,Karakomik Filmler: Emanet,"$1,360,837",-,-,"$1,360,837",100%
356,"Turu, the Wacky Hen","$1,360,825",-,-,"$1,360,825",100%
357,2 Hearts,"$1,349,286","$1,349,286",100%,-,-
358,The Assistant,"$1,338,881","$1,100,313",82.2%,"$238,568",17.8%
359,The Dark Knight 2020 Re-release,"$1,330,612",-,-,"$1,330,612",100%
360,The Tax Collector,"$1,325,781","$1,044,212",78.8%,"$281,569",21.2%
361,The Hater,"$1,325,591",-,-,"$1,325,591",100%
362,Temporary Difficulties,"$1,312,189",-,-,"$1,312,189",100%
363,Pee Nak 2,"$1,302,777",-,-,"$1,302,777",100%
364,Angrezi Medium,"$1,301,330",-,-,"$1,301,330",100%
365,Savage,"$1,289,813",-,-,"$1,289,813",100%
366,Kajillionaire,"$1,277,551","$531,430",41.6%,"$746,121",58.4%
367,The Perfect Candidate,"$1,270,023",-,-,"$1,270,023",100%
368,Beauty Water,"$1,261,400",-,-,"$1,261,400",100%
369,Baba Yaga: Terror of the Dark Forest,"$1,230,184",-,-,"$1,230,184",100%
370,Mishima: The Last Debate,"$1,229,264",-,-,"$1,229,264",100%
371,Boutchou,"$1,227,428",-,-,"$1,227,428",100%
372,Jaanu,"$1,221,813",-,-,"$1,221,813",100%
373,Golkeri,"$1,219,801",-,-,"$1,219,801",100%
